Macrotrends Data Download

Canada GDP Per Capita 1960-2021


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,2259.2943
1961-12-31,2240.433,-0.83
1962-12-31,2268.5853,1.26
1963-12-31,2374.4984,4.67
1964-12-31,2555.1111,7.61
1965-12-31,2770.3618,8.42
1966-12-31,3047.1061,9.99
1967-12-31,3217.1593,5.58
1968-12-31,3462.6789,7.63
1969-12-31,3763.9534,8.7
1970-12-31,4121.9328,9.51
1971-12-31,4520.1629,9.66
1972-12-31,5089.5879,12.6
1973-12-31,5838.6609,14.72
1974-12-31,7033.011,20.46
1975-12-31,7511.2113,6.8
1976-12-31,8809.2646,17.28
1977-12-31,8919.0575,1.25
1978-12-31,9123.6913,2.29
1979-12-31,10043.6609,10.08
1980-12-31,11170.564,11.22
1981-12-31,12337.4662,10.45
1982-12-31,12481.8748,1.17
1983-12-31,13425.1225,7.56
1984-12-31,13877.9171,3.37
1985-12-31,14114.8078,1.71
1986-12-31,14461.0692,2.45
1987-12-31,16308.967,12.78
1988-12-31,18936.9641,16.11
1989-12-31,20715.6315,9.39
1990-12-31,21448.362,3.54
1991-12-31,21768.3433,1.49
1992-12-31,20879.8483,-4.08
1993-12-31,20121.1613,-3.63
1994-12-31,19935.3815,-0.92
1995-12-31,20613.7879,3.4
1996-12-31,21227.3475,2.98
1997-12-31,21829.2334,2.84
1998-12-31,20952.0695,-4.02
1999-12-31,22238.6645,6.14
2000-12-31,24190.2496,8.78
2001-12-31,23738.1807,-1.87
2002-12-31,24169.2847,1.82
2003-12-31,28200.6581,16.68
2004-12-31,32034.3077,13.59
2005-12-31,36266.1871,13.21
2006-12-31,40385.87,11.36
2007-12-31,44543.041,10.29
2008-12-31,46594.451,4.61
2009-12-31,40773.0615,-12.49
2010-12-31,47448.0132,16.37
2011-12-31,52087.4464,9.78
2012-12-31,52678.3901,1.13
2013-12-31,52652.5937,-0.05
2014-12-31,50893.4467,-3.34
2015-12-31,43585.512,-14.36
2016-12-31,42322.4848,-2.9
2017-12-31,45148.5527,6.68
2018-12-31,46313.1714,2.58
2019-12-31,46194.7252,-0.26
